variety,variety_trim,alternate,breeder,color,crop,type,number,release_year,technology,
KKS 4474 R,KKS4474R,AFG 4474 R,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20102762,20100806,R,R
KKS 4476,KKS4476,AFG 4476,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20082617,20080731,0,0
KKS 4479 R,KKS4479R,AFG 4479 R,Klein Karoo Seed Marketing,White,Zea mays,GM,A20082589,20080807,R,R
KKS 4517,KKS4517,AFG 4517,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20052251,20051011,0,0
KKS 4520,KKS4520,AFG 4520,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20042064,20040820,0,0
KKS 4522 B,KKS4522B,AFG 4522 B,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20062392,20060801,B,B
KKS 4530,KKS4530,AFG 4530,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20052237,20051011,0,0
KKS 4540,KKS4540,AFG 4540,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20042065,20040820,0,0
KKS 4555,KKS4555,AFG 4555,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20072494,20070801,0,0
KKS 4572 R,KKS4572R,AFG 4572 R,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20102763,20100806,R,R
KKS 4573 B,KKS4573B,AFG 4573 B,Klein Karoo Seed Marketing,White,Zea mays,GM,A20082591,20080807,B,B
KKS 4577 B,KKS4577B,AFG 4577 B,Klein Karoo Seed Marketing,White,Zea mays,GM,A20082593,20080807,B,B
KKS 4581 BR,KKS4581BR,AFG 4581 BR,Klein Karoo Seed Marketing,White,Zea mays,GM,A 20102732,20100521,BR,BR
KKS 8200,KKS8200,,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20011603,20010926,0,0
KKS 8214 R,KKS8214R,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20133321,20130912,R,R
KKS 8216 BR,KKS8216BR,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20133322,20130912,BR,BR
KKS8301,KKS8301,,Klein Karoo Seed Marketing,White,Zea mays,HB,,,0,0
KKS8301B,KKS8301B,,Klein Karoo Seed Marketing,White,Zea mays,GM,,,B,B
KKS 8326,KKS8326,,Syngenta SA,Yellow,Zea mays,HB,A 20184191,20181108,0,0
KKS 8326 B,KKS8326B,KKS 8426 B,Syngenta SA,Yellow,Zea mays,GM,A 20153638,20150728,B,B
KKS8328B,KKS8328B,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,,,B,B
KKS8330B,KKS8330B,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,,,B,B
KKS 8403 R,KKS8403R,10X003RW,Klein Karoo Seed Marketing,White,Zea mays,GM,A 20143462,20140822,R,R
KKS8406B,KKS8406B,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,,,B,B
KKS 8408 R,KKS8408R,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20143486,20140822,R,R
KKS 8410 BR ,KKS8410BR,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20143487,20140822,R,R
KKS 8418 B,KKS8418B,15Y1208 B,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20194256,20190912,B,B
KKS 8422 B,KKS8422B,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20194257,20190912,B,B
KKS 8423,KKS8423,13W0023,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20163861,20160913,0,0
KKS 8424 B,KKS8424B,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20123166,20120814,B,B
KKS 8426 B,KKS8426B,KKS 8326 B,Syngenta SA,Yellow,Zea mays,GM,A 20153638,20150728,B,B
KKS 8427,KKS8427,13W0024,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20163862,20160913,0,0
KKS 8555 R,KKS8555R,15W0055,Klein Karoo Seed Marketing,White,Zea mays,GM,A 20184153,20180816,R,R
KORDUNA,KORDUNA,,Quality Seed,Yellow,Zea mays,HB,A 20194312,20191007,0,0
KP-11,KP-11,,Erdzak Pty Ltd,Yellow,Zea mays,HB,A 20163838,20160908,0,0
LAKE 601,LAKE601,,Lake Agriculture,White,Zea mays,HB,A 20163873,20160913,0,0
LAKE 603,LAKE603,,Lake Agriculture,White,Zea mays,HB,A 20163874,20160913,0,0
LAKE 606,LAKE606,,Lake Agriculture,Yellow,Zea mays,HB,A 20194313,20191007,0,0
